[*] tld: Performing TLD Brute force Enumeration against gee...
[*] The operation could take up to: 00:01:35
[+] 	 A gee.co 104.21.71.73
[+] 	 A gee.co 172.67.143.228
[+] 	 AAAA gee.co 2606:4700:3037::ac43:8fe4
[+] 	 AAAA gee.co 2606:4700:3037::6815:4749
[+] 	 A gee.net 44.232.173.249
[+] 	 A gee.net 52.40.42.113
[+] 	 A gee.com 129.212.166.225
[+] 	 A gee.xyz 44.232.173.249
[+] 	 A gee.xyz 52.40.42.113
[+] 	 A gee.ai 44.232.173.249
[+] 	 A gee.ai 52.40.42.113
[+] 	 A gee.info 76.223.54.146
[+] 	 A gee.info 13.248.169.48
[+] 	 A gee.asia 145.79.28.93
[+] 	 A gee.at 188.40.218.97
[+] 	 A gee.au 64.29.17.1
[+] 	 A gee.au 216.198.79.1
[+] 	 A gee.org 216.40.34.37
[+] 	 A gee.be 176.62.169.222
[+] 	 AAAA gee.be 2a00:1c98:1000:1041::b1c0:3f48
[+] 	 A gee.co 172.67.143.228
[+] 	 A gee.co 104.21.71.73
[+] 	 AAAA gee.co 2606:4700:3037::6815:4749
[+] 	 AAAA gee.co 2606:4700:3037::ac43:8fe4
[+] 	 A gee.bg 88.99.208.169
[+] 	 A gee.ae 20.174.11.89
[+] 	 A gee.ca 13.248.169.48
[+] 	 A gee.ca 76.223.54.146
[+] 	 A gee.ch 217.26.53.123
[+] 	 A gee.by 93.125.99.141
[+] 	 A gee.de 5.44.111.51
[+] 	 A gee.cz 95.179.200.197
[+] 	 A gee.do 172.67.199.239
[+] 	 A gee.do 104.21.76.196
[+] 	 AAAA gee.do 2606:4700:3033::ac43:c7ef
[+] 	 AAAA gee.do 2606:4700:3031::6815:4cc4
[+] 	 A gee.dz 213.179.181.8
[+] 	 A gee.fi 185.16.98.50
[+] 	 A gee.cm 185.53.179.145
[+] 	 A gee.es 34.240.219.181
[+] 	 A gee.eu 76.223.112.36
[+] 	 A gee.dk 20.84.233.22
[+] 	 A gee.gg 217.160.231.65
[+] 	 AAAA gee.gg 2001:8d8:1001:427e:36ed:44db:582b:10
[+] 	 A gee.gr 78.159.119.7
[+] 	 A gee.app 64.190.63.222
[+] 	 A gee.hu 95.140.46.70
[+] 	 A gee.cn 8.138.2.56
[+] 	 A gee.ie 216.239.36.21
[+] 	 A gee.ie 216.239.34.21
[+] 	 A gee.ie 216.239.38.21
[+] 	 A gee.ie 216.239.32.21
[+] 	 A gee.in 54.195.35.206
[+] 	 A gee.io 35.157.26.135
[+] 	 A gee.io 63.176.8.218
[+] 	 AAAA gee.io 2a05:d014:58f:6200::258
[+] 	 AAAA gee.io 2a05:d014:58f:6200::259
[+] 	 A gee.ir 89.39.208.132
[+] 	 A gee.it 185.162.249.88
[+] 	 A gee.im 54.215.31.113
[+] 	 A gee.id 77.37.50.234
[+] 	 A gee.id 147.79.116.20
[+] 	 AAAA gee.id 2a02:4780:36:8d89:643f:24f9:fad1:5603
[+] 	 AAAA gee.id 2a02:4780:37:eb78:c7dd:b5ac:2468:1463
[+] 	 A gee.is 45.248.77.50
[+] 	 AAAA gee.is 2404:f780:4:805::ac73:b6e5
[+] 	 AAAA gee.is 2404:f780:4:805::24e3:708d
[+] 	 AAAA gee.is 2404:f780:4:805::6e6e:56e1
[+] 	 AAAA gee.is 2404:f780:4:805::fc58:db19
[+] 	 AAAA gee.is 2404:f780:4:805::4549:1d46
[+] 	 AAAA gee.is 2404:f780:4:805::2849:bf67
[+] 	 AAAA gee.is 2404:f780:4:805::7fc5:68f6
[+] 	 AAAA gee.is 2404:f780:4:805::62d4:6271
[+] 	 AAAA gee.is 2404:f780:4:805::1a28:a8ce
[+] 	 AAAA gee.is 2404:f780:4:805::fdeb:a285
[+] 	 A gee.la 76.223.54.146
[+] 	 A gee.la 13.248.169.48
[+] 	 A gee.li 154.26.135.243
[+] 	 A gee.kz 185.98.5.143
[+] 	 A gee.lt 195.181.244.215
[+] 	 A gee.kr 76.223.54.146
[+] 	 A gee.kr 13.248.169.48
[+] 	 A gee.me 13.248.169.48
[+] 	 A gee.me 76.223.54.146
[+] 	 A gee.jp 210.131.236.210
[+] 	 A gee.ng 77.95.113.183
[+] 	 A gee.no 104.247.81.99
[+] 	 A gee.nl 3.33.236.10
[+] 	 AAAA gee.nl 2600:9000:a612:55d9:577:681:d7ab:f42b
[+] 	 A gee.nu 194.68.80.240
[+] 	 A gee.pl 188.128.255.251
[+] 	 A gee.ph 212.92.105.202
[+] 	 A gee.lk 72.9.156.11
[+] 	 A gee.pt 94.46.176.56
[+] 	 A gee.re 54.36.31.145
[+] 	 A gee.ro 104.247.81.99
[+] 	 A gee.se 144.76.37.253
[+] 	 A gee.rs 149.102.146.166
[+] 	 A gee.sh 18.172.226.7
[+] 	 A gee.sh 18.172.226.85
[+] 	 A gee.sh 18.172.226.27
[+] 	 A gee.sh 18.172.226.4
[+] 	 A gee.ru 95.163.244.135
[+] 	 A gee.su 193.124.184.215
[+] 	 A gee.sa 213.165.244.39
[+] 	 A gee.tn 197.12.0.107
[+] 	 A gee.to 13.248.169.48
[+] 	 A gee.to 76.223.54.146
[+] 	 A gee.tv 76.223.54.146
[+] 	 A gee.tv 13.248.169.48
[+] 	 A gee.st 165.140.202.251
[+] 	 A gee.uk 13.248.169.48
[+] 	 A gee.uk 76.223.54.146
[+] 	 A gee.us 76.223.54.146
[+] 	 A gee.us 13.248.169.48
[+] 	 A gee.vn 172.67.156.4
[+] 	 A gee.vn 104.21.73.2
[+] 	 AAAA gee.vn 2606:4700:3032::ac43:9c04
[+] 	 AAAA gee.vn 2606:4700:3033::6815:4902
[+] 	 A gee.uz 91.212.89.6
[+] 	 A gee.vg 88.198.29.97
[+] 	 A gee.ws 64.70.19.203
[+] 	 A gee.ad.jobs 64.190.63.222
[+] 	 A gee.vc 185.53.179.146
[+] 	 A gee.be.biz 76.223.54.146
[+] 	 A gee.be.biz 13.248.169.48
[+] 126 Records Found
